year,display_year,year_type,region,fleet,species,catch
1991,1991/92,fin,Warrnambool,Pot,Lobster,94590
1992,1992/93,fin,Warrnambool,Pot,Lobster,102296
1993,1993/94,fin,Warrnambool,Pot,Lobster,103782
1994,1994/95,fin,Warrnambool,Pot,Lobster,89140
1995,1995/96,fin,Warrnambool,Pot,Lobster,82103
1996,1996/97,fin,Warrnambool,Pot,Lobster,86889
1997,1997/98,fin,Warrnambool,Pot,Lobster,84054
1998,1998/99,fin,Warrnambool,Pot,Lobster,159578
1999,1999/00,fin,Warrnambool,Pot,Lobster,125455
2000,2000/01,fin,Warrnambool,Pot,Lobster,140398
2001,2001/02,fin,Warrnambool,Pot,Lobster,112396
2002,2002/03,fin,Warrnambool,Pot,Lobster,102461
2003,2003/04,fin,Warrnambool,Pot,Lobster,95049
2004,2004/05,fin,Warrnambool,Pot,Lobster,111242
2005,2005/06,fin,Warrnambool,Pot,Lobster,111459
2006,2006/07,fin,Warrnambool,Pot,Lobster,87636
2007,2007/08,fin,Warrnambool,Pot,Lobster,86051
2008,2008/09,fin,Warrnambool,Pot,Lobster,75314
2009,2009/10,fin,Warrnambool,Pot,Lobster,69410
2010,2010/11,fin,Warrnambool,Pot,Lobster,56168
2011,2011/12,fin,Warrnambool,Pot,Lobster,56754
2012,2012/13,fin,Warrnambool,Pot,Lobster,72858
2013,2013/14,fin,Warrnambool,Pot,Lobster,81309
2014,2014/15,fin,Warrnambool,Pot,Lobster,86086
2015,2015/16,fin,Warrnambool,Pot,Lobster,78426
1978,1978/79,fin,Portland,Pot,Lobster,239581
1979,1979/80,fin,Portland,Pot,Lobster,221192
1980,1980/81,fin,Portland,Pot,Lobster,353739
1981,1981/82,fin,Portland,Pot,Lobster,281789
1982,1982/83,fin,Portland,Pot,Lobster,263520
1983,1983/84,fin,Portland,Pot,Lobster,225943
1984,1984/85,fin,Portland,Pot,Lobster,189757
1985,1985/86,fin,Portland,Pot,Lobster,174285
1986,1986/87,fin,Portland,Pot,Lobster,194938
1987,1987/88,fin,Portland,Pot,Lobster,200898
1988,1988/89,fin,Portland,Pot,Lobster,174960
1989,1989/90,fin,Portland,Pot,Lobster,202034
1990,1990/91,fin,Portland,Pot,Lobster,183476
1991,1991/92,fin,Portland,Pot,Lobster,250391
1992,1992/93,fin,Portland,Pot,Lobster,218092
1993,1993/94,fin,Portland,Pot,Lobster,234015
1994,1994/95,fin,Portland,Pot,Lobster,248993
1995,1995/96,fin,Portland,Pot,Lobster,267100
1996,1996/97,fin,Portland,Pot,Lobster,228136
1997,1997/98,fin,Portland,Pot,Lobster,267645
1998,1998/99,fin,Portland,Pot,Lobster,253508
1999,1999/00,fin,Portland,Pot,Lobster,281222
2000,2000/01,fin,Portland,Pot,Lobster,286578
2001,2001/02,fin,Portland,Pot,Lobster,233789
2002,2002/03,fin,Portland,Pot,Lobster,244045
2003,2003/04,fin,Portland,Pot,Lobster,265390
2004,2004/05,fin,Portland,Pot,Lobster,241506
2005,2005/06,fin,Portland,Pot,Lobster,209411
2006,2006/07,fin,Portland,Pot,Lobster,199649
2007,2007/08,fin,Portland,Pot,Lobster,176995
2008,2008/09,fin,Portland,Pot,Lobster,115351
2009,2009/10,fin,Portland,Pot,Lobster,115992
2010,2010/11,fin,Portland,Pot,Lobster,136570
2011,2011/12,fin,Portland,Pot,Lobster,138982
2012,2012/13,fin,Portland,Pot,Lobster,139739
2013,2013/14,fin,Portland,Pot,Lobster,142253
2014,2014/15,fin,Portland,Pot,Lobster,105499
2015,2015/16,fin,Portland,Pot,Lobster,100565
2009,2009/10,fin,All,TAC,Lobster,240000
2010,2010/11,fin,All,TAC,Lobster,240000
2011,2011/12,fin,All,TAC,Lobster,240000
2012,2012/13,fin,All,TAC,Lobster,260000
2013,2013/14,fin,All,TAC,Lobster,260000
2014,2014/15,fin,All,TAC,Lobster,230000
2015,2015/16,fin,All,TAC,Lobster,230000
