display_year,survey_id,region,sex,sample_size,effort,bin,count
2011/12,onboard,All,F,,,175,0
2011/12,onboard,All,F,,,176,0
2011/12,onboard,All,F,,,177,0
2011/12,onboard,All,F,,,178,0
2011/12,onboard,All,F,,,179,0
2011/12,onboard,All,F,,,180,0
2011/12,onboard,All,F,,,181,0
2011/12,onboard,All,F,,,182,0
2011/12,onboard,All,F,,,183,0
2011/12,onboard,All,F,,,184,0
2011/12,onboard,All,F,,,185,0
2011/12,onboard,All,F,,,186,0
2011/12,onboard,All,F,,,187,0
2011/12,onboard,All,F,,,188,0
2011/12,onboard,All,F,,,189,0
2011/12,onboard,All,F,,,190,0
2011/12,onboard,All,F,,,191,0
2011/12,onboard,All,F,,,192,0
2011/12,onboard,All,F,,,193,0
2011/12,onboard,All,F,,,194,0
2011/12,onboard,All,F,,,195,0
2011/12,onboard,All,F,,,196,0
2011/12,onboard,All,F,,,197,0
2011/12,onboard,All,F,,,198,0
2011/12,onboard,All,F,,,199,0
2011/12,onboard,All,F,,,200,0
2011/12,onboard,All,F,,,201,0
2011/12,onboard,All,F,,,202,0
2011/12,onboard,All,F,,,203,0
2011/12,onboard,All,F,,,204,0
2011/12,onboard,All,F,,,205,0
2011/12,onboard,All,F,,,206,0
2011/12,onboard,All,F,,,207,0
2011/12,onboard,All,F,,,208,0
2011/12,onboard,All,F,,,209,0
2011/12,onboard,All,F,,,210,0
2012/13,onboard,All,F,,,40,0
2012/13,onboard,All,F,,,41,0
2012/13,onboard,All,F,,,42,0
2012/13,onboard,All,F,,,43,0
2012/13,onboard,All,F,,,44,0
2012/13,onboard,All,F,,,45,0
2012/13,onboard,All,F,,,46,0
2012/13,onboard,All,F,,,47,0
2012/13,onboard,All,F,,,48,0
2012/13,onboard,All,F,,,49,0
2012/13,onboard,All,F,,,50,0
2012/13,onboard,All,F,,,51,0
2012/13,onboard,All,F,,,52,0
2012/13,onboard,All,F,,,53,0
2012/13,onboard,All,F,,,54,0
2012/13,onboard,All,F,,,55,0
2012/13,onboard,All,F,,,56,0
2012/13,onboard,All,F,,,57,0
2012/13,onboard,All,F,,,58,0
2012/13,onboard,All,F,,,59,0
2012/13,onboard,All,F,,,60,0
2012/13,onboard,All,F,,,61,0
2012/13,onboard,All,F,,,62,0
2012/13,onboard,All,F,,,63,0
2012/13,onboard,All,F,,,64,0
2012/13,onboard,All,F,,,65,0
2012/13,onboard,All,F,,,66,0
2012/13,onboard,All,F,,,67,0
2012/13,onboard,All,F,,,68,0
2012/13,onboard,All,F,,,69,0
2012/13,onboard,All,F,,,70,0
2012/13,onboard,All,F,,,71,0
2012/13,onboard,All,F,,,72,0
2012/13,onboard,All,F,,,73,0
2012/13,onboard,All,F,,,74,0
2012/13,onboard,All,F,,,75,0
2012/13,onboard,All,F,,,76,0
2012/13,onboard,All,F,,,77,0
2012/13,onboard,All,F,,,78,0
2012/13,onboard,All,F,,,79,0
2012/13,onboard,All,F,,,80,0
2012/13,onboard,All,F,,,81,0
2012/13,onboard,All,F,,,82,0
2012/13,onboard,All,F,,,83,0
2012/13,onboard,All,F,,,84,0
2012/13,onboard,All,F,,,85,0
2012/13,onboard,All,F,,,86,0
2012/13,onboard,All,F,,,87,0
2012/13,onboard,All,F,,,88,0
2012/13,onboard,All,F,,,89,0
2012/13,onboard,All,F,,,90,0
2012/13,onboard,All,F,,,91,11.49425287
2012/13,onboard,All,F,,,92,0
2012/13,onboard,All,F,,,93,0
2012/13,onboard,All,F,,,94,0
2012/13,onboard,All,F,,,95,11.49425287
2012/13,onboard,All,F,,,96,11.49425287
2012/13,onboard,All,F,,,97,0
2012/13,onboard,All,F,,,98,5.747126437
2012/13,onboard,All,F,,,99,11.49425287
2012/13,onboard,All,F,,,100,11.49425287
2012/13,onboard,All,F,,,101,0
2012/13,onboard,All,F,,,102,0
2012/13,onboard,All,F,,,103,11.49425287
2012/13,onboard,All,F,,,104,11.49425287
2012/13,onboard,All,F,,,105,11.49425287
2012/13,onboard,All,F,,,106,28.73563218
2012/13,onboard,All,F,,,107,22.98850575
2012/13,onboard,All,F,,,108,11.49425287
2012/13,onboard,All,F,,,109,22.98850575
2012/13,onboard,All,F,,,110,11.49425287
2012/13,onboard,All,F,,,111,0
2012/13,onboard,All,F,,,112,22.98850575
2012/13,onboard,All,F,,,113,40.22988506
2012/13,onboard,All,F,,,114,28.73563218
2012/13,onboard,All,F,,,115,28.73563218
2012/13,onboard,All,F,,,116,0
2012/13,onboard,All,F,,,117,22.98850575
2012/13,onboard,All,F,,,118,34.48275862
2012/13,onboard,All,F,,,119,34.48275862
2012/13,onboard,All,F,,,120,51.72413793
2012/13,onboard,All,F,,,121,22.98850575
2012/13,onboard,All,F,,,122,17.24137931
2012/13,onboard,All,F,,,123,17.24137931
2012/13,onboard,All,F,,,124,17.24137931
2012/13,onboard,All,F,,,125,0
2012/13,onboard,All,F,,,126,0
2012/13,onboard,All,F,,,127,0
2012/13,onboard,All,F,,,128,11.49425287
2012/13,onboard,All,F,,,129,34.48275862
2012/13,onboard,All,F,,,130,0
2012/13,onboard,All,F,,,131,0
2012/13,onboard,All,F,,,132,0
2012/13,onboard,All,F,,,133,0
2012/13,onboard,All,F,,,134,11.49425287
2012/13,onboard,All,F,,,135,0
2012/13,onboard,All,F,,,136,11.49425287
2012/13,onboard,All,F,,,137,28.73563218
2012/13,onboard,All,F,,,138,0
2012/13,onboard,All,F,,,139,5.747126437
2012/13,onboard,All,F,,,140,0
2012/13,onboard,All,F,,,141,0
2012/13,onboard,All,F,,,142,0
2012/13,onboard,All,F,,,143,0
2012/13,onboard,All,F,,,144,0
2012/13,onboard,All,F,,,145,0
2012/13,onboard,All,F,,,146,0
2012/13,onboard,All,F,,,147,0
2012/13,onboard,All,F,,,148,0
2012/13,onboard,All,F,,,149,0
2012/13,onboard,All,F,,,150,0
2012/13,onboard,All,F,,,151,0
2012/13,onboard,All,F,,,152,5.747126437
2012/13,onboard,All,F,,,153,0
2012/13,onboard,All,F,,,154,0
2012/13,onboard,All,F,,,155,0
2012/13,onboard,All,F,,,156,0
2012/13,onboard,All,F,,,157,0
2012/13,onboard,All,F,,,158,0
2012/13,onboard,All,F,,,159,0
2012/13,onboard,All,F,,,160,0
2012/13,onboard,All,F,,,161,0
2012/13,onboard,All,F,,,162,0
2012/13,onboard,All,F,,,163,0
2012/13,onboard,All,F,,,164,0
2012/13,onboard,All,F,,,165,0
2012/13,onboard,All,F,,,166,0
2012/13,onboard,All,F,,,167,0
2012/13,onboard,All,F,,,168,0
2012/13,onboard,All,F,,,169,0
2012/13,onboard,All,F,,,170,0
2012/13,onboard,All,F,,,171,0
2012/13,onboard,All,F,,,172,0
2012/13,onboard,All,F,,,173,0
2012/13,onboard,All,F,,,174,0
2012/13,onboard,All,F,,,175,0
2012/13,onboard,All,F,,,176,0
2012/13,onboard,All,F,,,177,0
2012/13,onboard,All,F,,,178,0
2012/13,onboard,All,F,,,179,0
2012/13,onboard,All,F,,,180,0
2012/13,onboard,All,F,,,181,0
2012/13,onboard,All,F,,,182,0
2012/13,onboard,All,F,,,183,0
2012/13,onboard,All,F,,,184,0
2012/13,onboard,All,F,,,185,0
2012/13,onboard,All,F,,,186,0
2012/13,onboard,All,F,,,187,0
2012/13,onboard,All,F,,,188,0
2012/13,onboard,All,F,,,189,0
2012/13,onboard,All,F,,,190,0
2012/13,onboard,All,F,,,191,0
2012/13,onboard,All,F,,,192,0
2012/13,onboard,All,F,,,193,0
2012/13,onboard,All,F,,,194,0
2012/13,onboard,All,F,,,195,0
2012/13,onboard,All,F,,,196,0
2012/13,onboard,All,F,,,197,0
2012/13,onboard,All,F,,,198,0
2012/13,onboard,All,F,,,199,0
2012/13,onboard,All,F,,,200,0
2012/13,onboard,All,F,,,201,0
2012/13,onboard,All,F,,,202,0
2012/13,onboard,All,F,,,203,0
2012/13,onboard,All,F,,,204,0
2012/13,onboard,All,F,,,205,0
2012/13,onboard,All,F,,,206,0
2012/13,onboard,All,F,,,207,0
2012/13,onboard,All,F,,,208,0
2012/13,onboard,All,F,,,209,0
2012/13,onboard,All,F,,,210,0
2013/14,onboard,All,F,,,40,0
2013/14,onboard,All,F,,,41,0
2013/14,onboard,All,F,,,42,0
2013/14,onboard,All,F,,,43,0
2013/14,onboard,All,F,,,44,0
2013/14,onboard,All,F,,,45,0
2013/14,onboard,All,F,,,46,0
2013/14,onboard,All,F,,,47,0
2013/14,onboard,All,F,,,48,0
2013/14,onboard,All,F,,,49,0
2013/14,onboard,All,F,,,50,0
2013/14,onboard,All,F,,,51,0
2013/14,onboard,All,F,,,52,0
2013/14,onboard,All,F,,,53,0
2013/14,onboard,All,F,,,54,0
2013/14,onboard,All,F,,,55,0
2013/14,onboard,All,F,,,56,0
2013/14,onboard,All,F,,,57,0
2013/14,onboard,All,F,,,58,0
2013/14,onboard,All,F,,,59,0
2013/14,onboard,All,F,,,60,0
2013/14,onboard,All,F,,,61,0
2013/14,onboard,All,F,,,62,0
2013/14,onboard,All,F,,,63,0
2013/14,onboard,All,F,,,64,0
2013/14,onboard,All,F,,,65,0
2013/14,onboard,All,F,,,66,0
2013/14,onboard,All,F,,,67,0
2013/14,onboard,All,F,,,68,0
2013/14,onboard,All,F,,,69,0
2013/14,onboard,All,F,,,70,0
2013/14,onboard,All,F,,,71,0
2013/14,onboard,All,F,,,72,0
2013/14,onboard,All,F,,,73,0
2013/14,onboard,All,F,,,74,0
2013/14,onboard,All,F,,,75,0
2013/14,onboard,All,F,,,76,0
2013/14,onboard,All,F,,,77,0
2013/14,onboard,All,F,,,78,0
2013/14,onboard,All,F,,,79,0
2013/14,onboard,All,F,,,80,0
2013/14,onboard,All,F,,,81,0
2013/14,onboard,All,F,,,82,0
2013/14,onboard,All,F,,,83,0
2013/14,onboard,All,F,,,84,0
2013/14,onboard,All,F,,,85,0
2013/14,onboard,All,F,,,86,0
2013/14,onboard,All,F,,,87,2.433090024
2013/14,onboard,All,F,,,88,0
2013/14,onboard,All,F,,,89,0
2013/14,onboard,All,F,,,90,0
2013/14,onboard,All,F,,,91,2.433090024
2013/14,onboard,All,F,,,92,0
2013/14,onboard,All,F,,,93,0
2013/14,onboard,All,F,,,94,0
2013/14,onboard,All,F,,,95,2.433090024
2013/14,onboard,All,F,,,96,0
2013/14,onboard,All,F,,,97,2.433090024
2013/14,onboard,All,F,,,98,0
2013/14,onboard,All,F,,,99,0
2013/14,onboard,All,F,,,100,0
2013/14,onboard,All,F,,,101,0
2013/14,onboard,All,F,,,102,14.59854015
2013/14,onboard,All,F,,,103,29.19708029
2013/14,onboard,All,F,,,104,29.19708029
2013/14,onboard,All,F,,,105,4.866180049
2013/14,onboard,All,F,,,106,14.59854015
2013/14,onboard,All,F,,,107,36.49635036
2013/14,onboard,All,F,,,108,58.39416058
2013/14,onboard,All,F,,,109,24.33090024
2013/14,onboard,All,F,,,110,36.49635036
2013/14,onboard,All,F,,,111,7.299270073
2013/14,onboard,All,F,,,112,46.22871046
2013/14,onboard,All,F,,,113,46.22871046
2013/14,onboard,All,F,,,114,19.46472019
2013/14,onboard,All,F,,,115,14.59854015
2013/14,onboard,All,F,,,116,14.59854015
2013/14,onboard,All,F,,,117,63.26034063
2013/14,onboard,All,F,,,118,26.76399027
2013/14,onboard,All,F,,,119,7.299270073
2013/14,onboard,All,F,,,120,21.89781022
2013/14,onboard,All,F,,,121,4.866180049
2013/14,onboard,All,F,,,122,9.732360097
2013/14,onboard,All,F,,,123,12.16545012
2013/14,onboard,All,F,,,124,9.732360097
2013/14,onboard,All,F,,,125,2.433090024
2013/14,onboard,All,F,,,126,7.299270073
2013/14,onboard,All,F,,,127,21.89781022
2013/14,onboard,All,F,,,128,7.299270073
2013/14,onboard,All,F,,,129,0
